id,title,content,date
1342611,내일업뎃인데 미리보기같은거없음?,ㅇ  - dc official App,2025-06-18 11:56:38
1342610,캐시샾포인트 소멸인줄알고 다써버렸네,근데 어차피 ㅈ과금이라 얼마없어서부캐에 100포인트짜리 말 3마리사줌...ㅋㅋ,2025-06-18 11:56:30
1342609,솔직히 씨발 이겜 쳐접어도,할게 없잖아 씨발이겜 좆 같 아도 이겜 접고 할 게임이 없다니까이거 접고 메1이1플스토리 던전앤파이터 로스1트아크 할거야??????????????????그거 아니라서 이거 붙잡고있는거잖아 씨 발 좆같아도 할게 없 다 고,2025-06-18 11:56:24
1342608,능력있는 개발자들 중국에 다 뺏겨서 이꼴임 국내겜은,진짜 스펙좋은사람은 중국에서 빼간다더라  - dc official App,2025-06-18 11:56:10
1342607,김동건 나의 사랑 나의 빛 나의 삶,"김동건,,네가 만든 Worlds, 네가 만든 Characters,Mabinogi, Players'cheers,너의 가장 큰 Gloria Haters의 noise, 넌 mute, 네 의지는 so strong, rogigyun's Just Shadow , 더쿠's Just a spark, 너의 fight,Always right Mabinogi, 우리 의 인생, Passion, Dream , 네가 만든 Heart We're with you, in every battle, every war, Together we fight,together we renew.",2025-06-18 11:56:09
1342606,신규 심층던전 나오니까 공물은 킵하는데,은동전은 왜 킵해? 이것도 새로 쓸곳이 생기냐? 혹시 신규지역 사냥터 나옴?  - dc official App,2025-06-18 11:56:02
1342605,어비스345 욕하는 새끼들 특징,이새끼는 밤새도록 만나러감,2025-06-18 11:56:02
1342604,님들 도적패스 오늘까지임,안받은거있으면 받으삼,2025-06-18 11:56:00
1342603,통장에 140있는데,두찜 시켰음무직백수임이틀에 한끼 먹는다 치면 얼마나 더 먹음?생활비 제외,2025-06-18 11:56:00
1342602,하 이 씨발련들은 뭐 하나 만들면 다 버그있네,패키지 포인트 소멸 안내문 닫기 시도하면 계속 이거뜨고 접속안됨 오늘 하루 보지 않기 눌러도 동일현상 발생진짜 애미뒤진새끼들임,2025-06-18 11:55:54
1342601,지옥3~5 월욜에 열리는거면,목금토일은 도대체 뭘 하라는거냐???스토리도 1~2시간 딸깍이면 다 깰거고 이거 다 깨면 뭐 하는데???,2025-06-18 11:55:49
1342600,내일 흑듀오 좆량배 테이머 등장으로 스토리로도 좆될수가 있다는거임,스토리까지 조지면 ㄹㅇ 어카노 씨발3주동안 뭐했노 소리나 들을텐데동건아 잘하자,2025-06-18 11:55:43
1342599,헤일로 합성 vs 드레스 합성,하나만 하면 뭐가 더 나음,2025-06-18 11:55:38
1342598,가덩 버려야겠지,얼탱이긴함지옥 5 나오면 순살 되겠지,2025-06-18 11:55:32
1342597,내일이면 나도 전설테두리 오우너,전펫 없고 하의 에픽이라 3.6따리였는데낼 로브 받고 나도 이제 전설테두리 오우너,2025-06-18 11:55:23
1342596,마지막 업데이트가 600년전인 게임,갓겜 체스,2025-06-18 11:55:21
1342595,나오가 완장이라 생각하니 꼴림,주딱달고 우는 나오,2025-06-18 11:55:20
1342594,월간패스 살까,내일 초기화 아니냐?,2025-06-18 11:55:08
1342593,성수 어디까지 오를려나,20데카 넘기려나?지금이 고점인거 같기도하고.. 좀 털까?,2025-06-18 11:55:05
1342592,레이드 등수 1 2 3 이지랄 띡 해놓은게 갈드컵 시초임,거기에 석궁이 자꾸 타직업 따잇 하는거 보여주니까 더 지랄나고  차라리 카드형으로  근스터헌터처럼 브레이크 몇회  아군 회복 몇회  이렇게 냈으면 모두가 행복한 모비노기였을텐데   - dc official App,2025-06-18 11:54:55
1342591,나 왜 게임 안들어가짐?,뭐임 이게,2025-06-18 11:54:53
1342590,악성재고 다팔리는중,뭐지? 무슨 일이 일어나고 있는 것이지?,2025-06-18 11:54:53
1342589,존버한 2.7석궁 해동하러간다 ㅋㅋ,담주월요일에 지옥5 레어밀고 전격으로 갈아타자잇,2025-06-18 11:54:49
1342588,토요일 짤,14살됐는데 환생석 없나봄신발 사이즈 안맞다고 내놓은거보소개귀엽다,2025-06-18 11:54:48
1342587,내 생각엔 2차 전압 역대급으로 이쁠 듯,이새끼들 섭종하려고 오픈했는데 1400억 벌고 눈돌아서 BM요소에 공들였을 가능성이 있음 서큐버스만 봐도 글라스기브넨은 ㅈㄴ 못생겼는데 갑자기 모델링에 힘 빡 줌,2025-06-18 11:54:42
1342586,사제 여신의 가호 어떨거 같나요,기존에 냉혹쓰고있어서 레이드 항아리 깡 했는데 권능도 아니고 가호가 ;;,2025-06-18 11:54:41
1342585,그래서 전설로브 어따 끼우냐고,어차피 너네 숨기기 해두고 다닐거잖아,2025-06-18 11:54:40
1342584,황야의 섬광어 업댓이후의 벌어질일,"목 - 메인 밀기, 바리밀기, 마스심층 밀기금 - 사이드퀘 싹다 밀기주말 - 이제 머함???",2025-06-18 11:54:24
1342583,황금주괴 이런건 상점에 팔면되는건가요?,그냥 골드 수급용인가..,2025-06-18 11:54:14
1342582,걍 내일 밥상차린거 ㅈㄴ 없음,그니까 지옥으로 물타기 시도하다가 역풍쳐맞지,2025-06-18 11:54:04
1342581,좆과금도 전설압 뽑을수있긴하네,한 2달 원기옥모으면,2025-06-18 11:54:00
1342580,근데 전압세트옵 좋아질거란 애들은 병신임?,여태 에픽압만 3기까지 나왔는데 옵션이 1이라도 달라짐? 쌀숭이라 옷에 돈 안써서 모르나?ㅋㅋ,2025-06-18 11:53:48
1342579,어비스24종 쩔해주실 오빠 있나요,본인 2.3 캄보디아 힐러인데 빨대잘꽂아용,2025-06-18 11:53:45
1342578,3분팟vs5분팟 어느쪽이 dps 잘나옴?,가고일 구경도 못하지만 전투시간 짧은 3분팟vs가고일 피증 낭낭하게 챙겨가지만 클탐 늘어지는 5분팟,2025-06-18 11:53:45
